,2025-07-28 09:00:00,2025-07-28 10:00:00,2025-07-28 11:00:00,2025-07-28 12:00:00,2025-07-28 13:00:00,2025-07-28 14:00:00,2025-07-28 15:00:00
-0.10000000149011612,-0.0018651180424591775,-0.03131268146714097,-0.0390024168771136,-0.010810696557079606,0.02068289765222585,0.04638414775538194,0.07088403011772473
-0.30000001192092896,-0.0006749187673189411,-0.02728801355330553,-0.036258679788215904,-0.014108177933397553,0.018614772397575707,0.04431085628959777,0.06828421045603171
-0.5,-0.0005219311846145491,-0.027066292067265532,-0.03613001410048201,-0.014443632469704211,0.018050378423011455,0.043584426824460606,0.0676283860175033
-0.699999988079071,-0.00048745216154971044,-0.026921159260061618,-0.036029343894073695,-0.014756701511667004,0.017235306755399707,0.04255846041094478,0.06677232325282917
-0.8999999761581421,-0.0004645477171201992,-0.026785740305265066,-0.035925359916098264,-0.015037788468644005,0.016584558495286554,0.04171010549072772,0.06598592408925902
-1.149999976158142,-0.00045051545085721297,-0.02661196934429767,-0.03577984755474144,-0.015395203833986633,0.01579346557992938,0.04064438284208921,0.06499878294869864
-1.5,-0.0004770449516800345,-0.026375415361765034,-0.03556748744348006,-0.01584905406757315,0.01467278567360291,0.03900592352320959,0.06337461595517901
-1.975000023841858,-0.0006525667891874084,-0.026071159097409896,-0.03524727064855696,-0.016413721138717446,0.012931160797436333,0.036498169968694205,0.06044936017415792
-2.5299999713897705,-0.001312669070435455,-0.025605826664498434,-0.03452259242849074,-0.01695774490347967,0.010279537762226211,0.03309686797242373,0.05652016908351646
-3.0999999046325684,-0.0027504523026928383,-0.02540806022568621,-0.03330250735894698,-0.017572275310836643,0.005611089344422253,0.028407654412647802,0.05162901385038341
-3.6989998817443848,-0.005032892462039355,-0.02540003830751887,-0.031881794508342526,-0.01950700655821256,-0.003954713013366789,0.021122067828169028,0.04505317333605918
-4.357999801635742,-0.008584113707245692,-0.02592567764331085,-0.030393300825810973,-0.015159640963427331,-0.0035394729216921134,0.009240368865329043,0.03519541741931187
-5.058000087738037,-0.01430525479147683,-0.027146370444078333,-0.02844240772748154,-0.008376931208247989,-0.008189560764419165,-0.005024846547076703,0.020827316960004748
-5.808000087738037,-0.022301962725950447,-0.02693616544397704,-0.016182361294295095,0.000624351650272352,-0.010305691701919664,-0.012503890913415895,-0.0032504534335643033
-6.6579999923706055,-0.007150368218176046,-0.0014355823744969828,0.015730288999171522,0.009538698336747198,-0.019641915632217264,-0.026843517176853765,-0.021321346980298025
-7.583000183105469,0.01260475074345811,0.02251002912575657,0.025938025551458407,-0.00539721059838911,-0.03025840705963475,-0.032720413949060806,-0.027840099625331433
-8.557999610900879,0.009357248423364647,0.016683891929089305,0.011697628068871462,-0.001195003696916351,-0.009449717832428352,-0.01892584192902706,-0.009220144365779975
-9.557999610900879,-0.0002425533810566996,0.010057754159027054,0.011475370664356818,-0.002155556208325536,-0.010476724283359325,-0.011777931175665807,0.005915515587087814
-10.557999610900879,0.007016422101989064,0.013229085323615199,0.015233932182452347,0.004192942130454856,-0.007194844333993828,-0.016143007703638287,0.00019871889104620954
-11.557999610900879,0.006200673660680604,0.020211617395915964,0.03462512512963648,0.02582158335336645,0.004503286636915797,-0.012587240598048829,-0.010593728198743548
-12.557999610900879,-0.004234666990698058,0.006159094922681803,0.01797759533135699,0.01782116963390307,0.010825875677210686,-0.001106168996365889,-0.002542611705048134
-13.557999610900879,0.0037142991263775828,0.00854359273563884,0.020645910057973223,0.02246199655984457,0.012538828324303699,0.000495609920932972,-0.0016243706177536575
-14.657999992370605,0.0036545952338789753,0.009126541040322496,0.018606587798970124,0.0180462524367233,0.010086451575491763,0.00030044288972700946,-0.0008248598336958908
-15.857999801635742,0.004555850545176014,0.008307077831687545,0.016053152103808425,0.01677842903198863,0.012514442655398108,0.0057171882234912305,0.006338247332325239
-17.058000564575195,0.007933295990643512,0.010341690241744668,0.015259868891007713,0.015426191255734918,0.01265793193286411,0.008379610121807773,0.009061211499271546
-18.257999420166016,0.0059549089753961485,0.009082775724813376,0.01287111564900405,0.01293384887825054,0.01101764735829158,0.007542878904113154,0.006633642629430049
-19.45800018310547,0.0046247915597620315,0.007332657487693744,0.010421445861508397,0.010981351955782754,0.01024213264912013,0.007970830698736544,0.006804286980600003
-20.70800018310547,0.003276651779772442,0.005875725775572535,0.008549629930746106,0.009411552014189589,0.009334148240820118,0.007810671627911995,0.006324395231861054
-22.058000564575195,0.0018312542957396752,0.0041165567242051225,0.006621550991731142,0.008116846262082552,0.008956746206766017,0.008177871687431925,0.00678875016608352
-23.45800018310547,0.0017780882925513195,0.003620180963130289,0.00601595877769713,0.008126394178130015,0.009519775524040404,0.008939892356014945,0.007368806233692544
-24.908000946044922,0.002550642080333982,0.00419944236469857,0.006602318779432067,0.00909205345730369,0.010765879911243057,0.010416169674549483,0.008483538771674477
-26.45800018310547,0.0035076754709211866,0.005397582058629879,0.007735824317717376,0.009727178294604594,0.010724416799358913,0.00987119337696197,0.007011754176391849
-28.158000946044922,0.0038979132427567524,0.005673312334950484,0.007498593430276208,0.008814926392685331,0.009486016253923809,0.008716365597264972,0.005881871319161376
-30.007999420166016,0.004152779000570477,0.005491600099783346,0.006931342644298823,0.00810704131529983,0.008702592795014247,0.007830825225145607,0.004903716787179009
-31.95800018310547,0.00528481943732017,0.006318869635427668,0.007377897249809567,0.008201100063931818,0.00843843483139415,0.007310913506536495,0.00415015158847553
-34.007999420166016,0.005664657890334968,0.00649177388902034,0.007122983946181625,0.007445022662946253,0.007319877159416556,0.006025234728805452,0.002762658465708345
-36.108001708984375,0.006083190470496805,0.00659808560023092,0.0068973798770927755,0.006981163901402093,0.006757986791396336,0.005467315750804704,0.002288118227419478
-38.20800018310547,0.006579417130188243,0.006806772201296446,0.0067059815316557496,0.006453971411603081,0.006028094141613896,0.004609169785422391,0.0014432996104399402
-40.358001708984375,0.00665331342804149,0.006814814488522845,0.006668921781504297,0.006500503917042624,0.006169430278466809,0.00475233052375177,0.001584230856256964
-42.55799865722656,0.006975427478373536,0.007201289801974427,0.007039582041144,0.006820302568554695,0.006406540046204963,0.004901366447848422,0.001655089111523192
-44.80799865722656,0.006813062738055362,0.00716756904593766,0.0070892965070647445,0.006908848655832429,0.006550110497745675,0.005106161771116056,0.0018626836409333966
-47.108001708984375,0.006566911098292334,0.006971675416886594,0.006952604857215321,0.006802134238416011,0.00648485246610882,0.005115480787441891,0.0018957002263227099
-49.45800018310547,0.00629221070816563,0.006602250091703358,0.006534361605249872,0.006364142177444888,0.0060472927122039504,0.0047123901669233505,0.0015389531797251562
-51.858001708984375,0.006240737857278655,0.006532092423035978,0.006429848677480127,0.006214032113024616,0.005874286543401462,0.004551705607247109,0.001421527217749413
-54.30799865722656,0.005818909434864122,0.005964546612033528,0.00580005815931835,0.005602038412961348,0.005354497984522808,0.004185858468048647,0.0012261231473125874
-57.05799865722656,0.005923841135253979,0.005920134074621783,0.005671250277209822,0.005472968711848164,0.00522791799805155,0.004052354991455754,0.0011453497389613924
-60.15800094604492,0.006002073394851905,0.005996022953632116,0.005776042785606054,0.00564535561429088,0.005471535097201962,0.0043472390332576286,0.0014552824770805125
-63.507999420166016,0.006260434472833784,0.006208741973050427,0.005939171106230963,0.005752001308647002,0.0055151588259323495,0.004310070356870664,0.0013324541242741138
-67.15799713134766,0.00665936637685194,0.0065512980056995,0.006200906539301172,0.005920184970827956,0.0055959684201306,0.004304777139440079,0.0012643128255325395
-71.00800323486328,0.006795652460412038,0.006642596336120754,0.00623609454745945,0.005903022651851955,0.005535144376743789,0.004204539700373215,0.0011290754614959497
-74.95800018310547,0.007280684640043951,0.007065270718571155,0.006553045984160838,0.006102892046127533,0.0056224551701004,0.0041873314952057756,0.0010261520461053045
-79.05799865722656,0.007387499255694407,0.007246648328647911,0.006770894976813303,0.006328628412985964,0.0058377755730515376,0.004382293253818805,0.001198622037237438
-83.25800323486328,0.00760766796692301,0.007555485296549122,0.007124291385949802,0.0066869909282079336,0.006180075766652742,0.004706023322795984,0.0014962305649841258
-87.50800323486328,0.007216988695651728,0.0072125144192822285,0.006842567177288044,0.006461342717859156,0.005998863786841515,0.0045629981994162435,0.0013751948603705592
-91.90799713134766,0.007048181220785577,0.007081590433394827,0.006785911959680699,0.006495840334312155,0.00611475328054113,0.00475126507120213,0.0016263743499132534
-96.40799713134766,0.006728700537928213,0.006732884165332104,0.006411494949174422,0.006104304140028094,0.00574014609638132,0.0044048363317404915,0.0013331030928288832
-100.90799713134766,0.006584024401343855,0.006579617505757122,0.00624935905181107,0.0059372014015988015,0.005592553297235753,0.004300310487827538,0.001308244204578405
-105.40799713134766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-110.05799865722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-114.95800018310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-119.95800018310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-124.95800018310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-129.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-134.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-139.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-144.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-149.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-154.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-159.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-164.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-169.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-174.95799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-179.85800170898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-184.6580047607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-189.45799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-194.20799255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-198.80799865722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-203.2790069580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-207.6999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-212.0500030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
