id,lat,lon,id_transec,x_mitgcm,y_mitgcm,col,row
,46.991595,7.024213,1,37300.0000000009,3499.99999999944,186,17
,46.989612,7.020898,1,36900.0000000006,3499.99999999937,184,17
,46.987318,7.016730,1,36500,3500.00000000024,182,17
,46.984838,7.012519,1,36100.0000000006,3499.99999999975,180,17
,46.982606,7.008622,1,35700.0000000003,3499.99999999967,178,17
,46.980219,7.004546,1,35300,3500.00000000025,176,17
,46.977801,7.000336,1,34900.0000000004,3499.99999999939,174,17
,46.975599,6.996349,1,34500.0000000005,3500.00000000051,172,17
,46.846907,6.832307,2,15700.0000000004,699.999999999935,78,3
,46.849568,6.828776,2,15700,1099.99999999982,78,5
,46.852291,6.825422,2,15699.9999999999,1500.00000000006,78,7
,46.855138,6.822068,2,15700.0000000002,1900,78,9
,46.806208,6.758977,4,8500.0000000002,899.999999999372,42,4
,46.808805,6.755490,4,8499.99999999986,1300.00000000075,42,6
,46.811924,6.751727,4,8500.00000000055,1699.99999999973,42,8
,46.814462,6.748599,4,8500.00000000033,2099.9999999998,42,10
,46.857770,6.818939,2,15700.0000000001,2300.00000000025,78,11
,46.817091,6.745469,4,8500.00000000031,2499.99999999938,42,12
,46.819811,6.741890,4,8499.99999999967,2900.0000000004,42,14
,46.997861,7.010664,3,36899.9999999994,4700.00000000033,184,23
,46.995227,7.006409,3,36500.0000000002,4700.00000000085,182,23
,46.992994,7.002511,3,36099.9999999998,4699.99999999976,180,23
,46.990699,6.998344,3,35699.9999999996,4700.00000000051,178,23
,46.988250,6.994223,3,35299.9999999996,4699.99999999996,176,23
,46.986141,6.990370,3,34900.0000000003,4699.99999999964,174,23
,46.983661,6.986251,3,34499.9999999997,4699.99999999986,172,23
,46.981521,6.982443,3,34100.0000000002,4699.99999999919,170,23
,46.979224,6.978098,3,33700.0000000006,4699.99999999983,168,23
