id,lat,lon,id_transec
,46.991595,7.024213,1
,46.989612,7.020898,1
,46.987318,7.016730,1
,46.984838,7.012519,1
,46.982606,7.008622,1
,46.980219,7.004546,1
,46.977801,7.000336,1
,46.975599,6.996349,1
,46.846907,6.832307,2
,46.849568,6.828776,2
,46.852291,6.825422,2
,46.855138,6.822068,2
,46.806208,6.758977,4
,46.808805,6.755490,4
,46.811924,6.751727,4
,46.814462,6.748599,4
,46.857770,6.818939,2
,46.817091,6.745469,4
,46.819811,6.741890,4
,46.997861,7.010664,3
,46.995227,7.006409,3
,46.992994,7.002511,3
,46.990699,6.998344,3
,46.988250,6.994223,3
,46.986141,6.990370,3
,46.983661,6.986251,3
,46.981521,6.982443,3
,46.979224,6.978098,3
