time,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],rain_[m/hr],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2024-01-01 00:00:00,5.446,1.0,8.0,0.6673,0.0,0.800014462369275,8.596600532531738,0.22,0.9170242365123433,290.48600920414776,-347.7767364728609,-22.934799062754752,-15.200058642280736,-94.50856073723624
2024-01-01 01:00:00,5.546,1.0,8.1,0.6205,0.0,1.400034606715134,8.590484619140625,0.22,0.91529322218195,288.62937760226185,-347.74655121370887,-25.709599993705602,-17.029579850864707,-100.94106023383537
2024-01-01 02:00:00,5.646,1.0,7.9,0.5589,0.0001,1.8000110221884753,8.589056015014648,0.22,0.9131861772257304,284.65998061825275,-347.73950058177,-29.867497951632252,-17.954277952333058,-109.98810969025686
2024-01-01 03:00:00,5.746,1.0,7.8,0.471,0.0,1.7999889027435698,8.588046073913574,0.22,0.9104735120994114,280.3774456412672,-347.7345162544541,-30.68441816315282,-17.284608406434177,-114.41562367067449
2024-01-01 04:00:00,5.746,1.0,7.9,0.4126,0.0,2.0999393729343714,8.586421012878418,0.22,0.9088373440846667,278.5136500112751,-347.72649625951834,-31.685148990039107,-18.393929464958383,-118.3830873591561
2024-01-01 05:00:00,6.146,1.0,7.6,0.4003,0.0,2.299983862986869,8.582625389099121,0.22,0.9085079702444209,278.05228397709396,-347.70776465214055,-35.586766212529064,-16.236927091963626,-120.57066600929483
2024-01-01 06:00:00,5.546,1.0,7.6,0.4003,0.0,0.6999989499992125,8.576868057250977,0.22,0.9085079702444209,275.7561848254761,-347.6793533545699,-24.91314084700408,-14.156429621231366,-110.08423102708481
2024-01-01 07:00:00,5.846,1.0,7.5,0.4003,0.0,1.000036104348238,8.575634002685547,0.22,0.9085079702444209,276.3790188773919,-347.6732637651965,-27.46576281864784,-13.67326112526506,-111.52476086147307
2024-01-01 08:00:00,5.546,13.0,7.4,0.4003,0.0,1.6000320809283792,8.568623542785645,0.22,11.81060361317747,274.70762146544763,-347.6386713330381,-32.92428517419025,-17.689741587154675,-111.7344730157579
2024-01-01 09:00:00,6.246,114.0,7.6,0.4003,0.0,1.8000039472178944,8.565232276916504,0.22,103.56990860786398,278.4363395372724,-347.6219383880516,-31.841893800892425,-13.879611591984071,-11.33719563579176
2024-01-01 10:00:00,7.246,263.0,7.9,0.4003,0.0,2.5000212179099597,8.576605796813965,0.22,238.9375961742827,283.864160639773,-347.67805919248383,-32.81038777631378,-8.943072513038073,133.37023733222003
2024-01-01 11:00:00,7.246,264.0,7.6,0.4003,0.0,2.5000376097171015,8.580201148986816,0.22,239.84610414452712,282.2985422834949,-347.69580129291745,-35.87827534665056,-8.96815761410009,129.60241217435396
2024-01-01 12:00:00,7.146,135.0,7.6,0.4003,0.0,2.5000141319600577,8.574125289916992,0.22,122.64857598299683,281.9105469584569,-347.6658189508575,-35.92485222054445,-9.624384621092851,11.34406714895892
2024-01-01 13:00:00,7.446,147.0,7.7,0.4003,0.0,2.100002976188367,8.57870101928711,0.22,133.55067162592988,283.60484032190374,-347.68839847190833,-31.93322660683252,-6.975600007389017,30.55828686170372
2024-01-01 14:00:00,7.946,203.0,7.5,0.4003,0.0,1.4000257461918335,8.618870735168457,0.22,184.42711795961745,284.48678738603144,-347.88666827824505,-28.505531590559265,-3.4670777349478006,89.0546277418968
2024-01-01 15:00:00,8.246,135.0,7.5,0.4008,0.0,1.8999684734226512,8.641175270080566,0.22,122.65037018509256,285.67819321881944,-347.99679567734023,-32.00214961474788,-2.2755331812860713,26.05408493053779
2024-01-01 16:00:00,7.846,29.0,7.8,0.4008,0.0,0.9999752496937112,8.619840621948242,0.22,26.34711655827914,285.71194548691165,-347.8914564965545,-23.605991337518898,-3.594884755398331,-63.033270544280946
2024-01-01 17:00:00,7.346,1.0,7.9,0.4008,0.0,0.6999641705116055,8.60625171661377,0.22,0.9085212606303152,284.2735479915598,-347.82437415523,-21.340358242989577,-5.471420420965486,-89.45408356699494
2024-01-01 18:00:00,6.746,1.0,7.9,0.4008,0.0,0.4999857997983543,8.602442741394043,0.22,0.9085212606303152,281.93608345827903,-347.80557269089155,-20.574768612843474,-7.777504237773431,-93.3132408225991
2024-01-01 19:00:00,6.446,1.0,7.5,0.4008,0.0,0.4999630086316386,8.574137687683105,0.22,0.9085212606303152,278.69629577901884,-347.6658801277321,-23.240738988810087,-9.023191250009686,-100.32499332690273
2024-01-01 20:00:00,6.546,1.0,7.1,0.4008,0.0,0.7,8.568411827087402,0.22,0.9085212606303152,276.9042274335705,-347.63762668268566,-27.24627584146629,-9.067018544075808,-106.13817237402694
2024-01-01 21:00:00,6.446,1.0,7.3,0.4048,0.0,0.6999586059189501,8.566505432128906,0.22,0.9086278836509528,277.7702985496313,-347.62822022992907,-25.99111104302555,-9.545354054363791,-104.48575889403611
2024-01-01 22:00:00,5.146,1.0,7.3,0.4517,0.0,0.9000326771845564,8.564985275268555,0.22,0.9099191371181294,274.63609080838904,-347.62071967353336,-28.895016886995386,-17.115029929205924,-118.08475654422747
2024-01-01 23:00:00,5.446,1.0,7.0,0.5587,0.0,1.1000061681645246,8.561727523803711,0.22,0.9131796295011447,279.00044867385986,-347.6046461170323,-32.422946715472825,-16.24040679469002,-116.35437132383413
2024-01-02 00:00:00,5.946,1.0,7.3,0.6629,0.0,0.7999527986075179,8.557469367980957,0.22,0.9168563308653055,288.4329848145091,-347.58363746400465,-27.22876062224129,-12.337063692928316,-97.79962063379985
2024-01-02 01:00:00,5.346,1.0,6.5,0.7039,0.0,0.9000055110942377,8.553553581237793,0.22,0.9184650875704036,283.83932913441583,-347.5643188130895,-34.58766710922371,-15.930433515377295,-113.32462521570432
2024-01-02 02:00:00,5.446,0.0,6.8,0.75,0.0,1.399994717847178,8.550100326538086,0.22,0.0,289.076844675709,-347.54728274607464,-36.477060305784185,-17.397285759811663,-112.34478413596148
2024-01-02 03:00:00,6.446,1.0,7.2,0.8356,0.0,2.600005555763295,8.548742294311523,0.22,0.924399175541051,301.7244995149629,-347.5405832878717,-41.30757285391221,-14.710880950025597,-100.91013840130557
2024-01-02 04:00:00,6.546,1.0,7.1,0.8933,0.0,1.600007103109233,8.547311782836914,0.22,0.9274439324116743,306.108845109355,-347.53352637906363,-34.27766944605634,-11.332510518165682,-86.10741730151896
2024-01-02 05:00:00,6.646,1.0,7.1,0.9056,0.0,2.5000376097171015,8.544769287109375,0.22,0.9281345029239766,307.54633410178764,-347.5209841650572,-41.305151687151536,-12.962332391462157,-93.31399963895929
2024-01-02 06:00:00,5.946,1.0,7.9,0.9056,0.0003,3.399977601396809,8.543811798095703,0.22,0.9281345029239766,309.27158323652145,-347.5162609286497,-39.43358514678207,-21.145582122841915,-97.89571045882823
2024-01-02 07:00:00,5.946,1.0,8.3,0.9056,0.0003,3.1,8.544873237609863,0.22,0.9281345029239766,311.46155414877893,-347.52149694959627,-32.86705132126751,-20.12982919816965,-88.12868881733053
2024-01-02 08:00:00,6.346,4.0,8.6,0.9056,0.0003,3.099978225729981,8.545571327209473,0.22,3.7125380116959064,314.7788755754455,-347.5249406182673,-29.09184425570528,-16.873650396683637,-74.99902168351477
2024-01-02 09:00:00,6.246,11.0,8.4,0.9056,0.0003,1.7999856943875971,8.545501708984375,0.22,10.20947953216374,313.28995080335824,-347.5245971911444,-24.482257257552774,-13.753042590847059,-62.26046670402222
2024-01-02 10:00:00,6.446,28.0,8.5,0.9056,0.0005,2.0999712021834966,8.543563842773438,0.22,25.987766081871342,314.68710951780184,-347.5150377876277,-24.974492158854225,-13.293757604051656,-45.10841195086037
2024-01-02 11:00:00,6.246,35.0,8.4,0.9056,0.0008,0.9999988499993387,8.541625022888184,0.22,32.484707602339185,313.28995080335824,-347.50547387704086,-20.15261103106486,-11.313888114536924,-33.19731461694521
2024-01-02 12:00:00,5.946,45.0,8.4,0.9056,0.0002,0.6999989499992125,8.541494369506836,0.22,41.766052631578944,311.9948849775623,-347.5048293904118,-18.767198151500935,-11.912827416294737,-24.42391734906625
2024-01-02 13:00:00,6.446,46.0,8.4,0.9056,0.0003,0.8,8.53739070892334,0.22,42.694187134502926,314.1555373821753,-347.4845873213772,-18.90004771406527,-9.67803377727556,-19.212944296039858
2024-01-02 14:00:00,6.646,15.0,8.8,0.906,0.0011,1.6999895911446046,8.524056434631348,0.22,13.92235831809872,317.15770500305024,-347.4188196386808,-20.006602678602196,-10.838392825416829,-47.1837518215509
2024-01-02 15:00:00,6.646,8.0,9.0,0.9056,0.0017,1.399997899998425,8.50098705291748,0.22,7.425076023391813,318.14315061539946,-347.30505823357356,-16.866153294576986,-9.965725077389989,-48.56870996674928
2024-01-02 16:00:00,6.246,2.0,8.9,0.9056,0.0017,0.4,8.483195304870605,0.22,1.8562690058479532,315.88842343039784,-347.21734136149945,-13.500924377565068,-9.236944742831188,-52.210518045649934
2024-01-02 17:00:00,6.346,1.0,9.1,0.9056,0.0023,0.2999546965793335,8.474625587463379,0.22,0.9281345029239766,317.33042555532484,-347.1750968722912,-11.768414754711666,-8.465750455233271,-49.15070202398732
2024-01-02 18:00:00,6.746,1.0,9.3,0.9056,0.0016,0.8000221621930232,8.470865249633789,0.22,0.9281345029239766,320.07761645890326,-347.15656147432964,-12.098881712527614,-7.8644322441970385,-46.11412446922706
2024-01-02 19:00:00,7.446,1.0,9.7,0.9056,0.0012,1.3000417608677037,8.469489097595215,0.22,0.9281345029239766,325.12522159338636,-347.1497783529039,-10.425052900688778,-5.2058800090224455,-36.72735516630482
2024-01-02 20:00:00,7.746,1.0,9.8,0.9056,0.0028,2.3999549079097298,8.467533111572266,0.22,0.9281345029239766,326.94626304334247,-347.140137372156,-12.284030818407098,-4.6728421560247995,-36.222612800321464
2024-01-02 21:00:00,8.046,1.0,10.0,0.9024,0.0011,2.8999663239424005,8.47099494934082,0.22,0.9279533527696795,328.9593397049279,-347.15720077572286,-11.321729040459818,-3.008317737817404,-31.599954496302473
2024-01-02 22:00:00,8.346,1.0,10.0,0.878,0.0002,1.5000534023827288,8.479692459106445,0.22,0.9266060606060607,328.1718432604957,-347.2000735899896,-8.342324829217715,-0.6930520856076171,-27.137001183713195
2024-01-02 23:00:00,8.746,1.0,9.9,0.8445,0.0005,1.999999832499993,8.493324279785156,0.22,0.9248489831241887,326.6423508081752,-347.2672771939541,-10.242112472620528,1.4577753227739099,-28.484414552501317
2024-01-03 00:00:00,8.746,1.0,10.0,0.798,0.0007,4.399983218149814,8.494263648986816,0.22,0.9225723793677204,323.32371649091374,-347.2719085557403,-14.508934410599139,2.2466623537717543,-35.28789174228626
2024-01-03 01:00:00,9.146,0.0,9.9,0.6931,0.0001,3.4000169205461317,8.489161491394043,0.22,0.0,316.8408912722875,-347.24675400099784,-13.340740812781025,4.949111553643013,-38.79749198784837
2024-01-03 02:00:00,9.246,1.0,9.7,0.6134,0.0,1.799997299997975,8.48600959777832,0.22,0.9150408192701573,311.17302949962476,-347.23121528135516,-11.193457062296362,4.113147476054253,-42.22345454870238
2024-01-03 03:00:00,9.546,1.0,9.4,0.5566,0.0,3.2999874136123606,8.487244606018066,0.22,0.9131109879451296,307.74759652311593,-347.2373037644329,-18.478514250239773,7.759112448812594,-49.295998054799036
2024-01-03 04:00:00,9.946,1.0,9.4,0.5402,0.0,4.29996740569042,8.487017631530762,0.22,0.9125817235237705,308.53111893027113,-347.23618479397,-21.603466192075683,12.501639348329682,-46.89431098392108
2024-01-03 05:00:00,10.046,1.0,9.2,0.5307,0.0,4.30003620682431,8.477977752685547,0.22,0.912280541754577,307.4962954920863,-347.19162093801503,-24.040398277910466,13.404329125089173,-49.41911405699547
2024-01-03 06:00:00,9.746,1.0,9.0,0.5307,0.0,3.8999964358958072,8.478086471557617,0.22,0.912280541754577,305.28215890740114,-347.1921568635354,-25.152708317900995,10.24276230166342,-55.90766343061725
2024-01-03 07:00:00,9.646,1.0,8.9,0.5303,0.0,3.8999558061598596,8.480978012084961,0.22,0.9122679458392869,304.3590872455898,-347.206410829631,-26.458084166110805,9.433782225675637,-58.959357578637075
2024-01-03 08:00:00,10.146,11.0,8.3,0.5298,0.0,3.2999867696704483,8.48564338684082,0.22,10.034774316419536,303.3728618667812,-347.2294099087139,-30.139443922319128,11.982258538004745,-51.97895910982753
2024-01-03 09:00:00,10.246,65.0,8.2,0.5298,0.0,2.8000327230230724,8.506779670715332,0.22,59.296393687933616,303.2603861489894,-347.3336205825559,-28.475154979475427,11.38276545108958,-1.8692302740186992
2024-01-03 10:00:00,10.746,102.0,8.2,0.5298,0.0,3.399977601396809,8.514123916625977,0.22,93.04972547952659,305.3286146773262,-347.3698362614081,-31.56835396753156,16.162977408657813,35.60312733657093
2024-01-03 11:00:00,11.146,138.0,8.3,0.5298,0.0,3.999999664999986,8.525673866271973,0.22,125.890805060536,307.5227580742471,-347.42679668293954,-33.597434891941354,20.85381652204415,73.24314808194634
2024-01-03 12:00:00,12.446,277.0,8.4,0.5303,0.0,4.499970361013503,8.523697853088379,0.22,252.69822099748248,313.5432020132817,-347.4170511616227,-34.07050348009486,32.844248548198145,217.59811691724477
2024-01-03 13:00:00,12.946,223.0,8.6,0.5303,0.0,3.699972975576984,8.535992622375488,0.22,203.435751922161,316.7279449512751,-347.4776912014285,-27.344799956028652,31.890226165075525,177.2314318810544
2024-01-03 14:00:00,13.146,142.0,7.8,0.5298,0.0,3.8000236841367188,8.534980773925781,0.22,129.53981390287035,313.15658842241083,-347.4727002809629,-36.518844820648766,33.77798995788711,92.4828471815566
2024-01-03 15:00:00,13.146,46.0,7.0,0.5298,0.0,3.999961639816062,8.519695281982422,0.22,41.96360168684532,308.3527020775748,-347.397311465088,-46.823494937212566,35.092833451467925,-8.811669186412537
2024-01-03 16:00:00,13.246,23.0,7.0,0.5294,0.0,3.799989822354792,8.519962310791016,0.22,20.981511491908066,308.7469681907729,-347.39862835932627,-45.08847379977602,34.51928927616408,-28.23933320025722
2024-01-03 17:00:00,13.046,1.0,7.5,0.5298,0.0,4.900030960106273,8.515905380249023,0.22,0.912252210583594,310.9877017452251,-347.378621376948,-47.58351431329913,39.80440945316495,-43.25777228127352
2024-01-03 18:00:00,12.946,2.0,7.8,0.5298,0.0001,6.000020323298914,8.51587963104248,0.22,1.824504421167188,312.31391938756457,-347.37849439603974,-50.88323539629512,45.41470746337239,-38.7085985202307
2024-01-03 19:00:00,9.146,2.0,9.2,0.5298,0.0023,4.999994993997494,8.515621185302734,0.22,1.824504421167188,303.6983576207009,-347.37721988588896,-27.528339085899326,6.078790646527685,-63.303906283392486
2024-01-03 20:00:00,9.446,1.0,9.0,0.5298,0.0015,3.89998609356495,8.505045890808105,0.22,0.912252210583594,303.98870154677587,-347.32507144319146,-25.589638131233016,7.658623656998192,-60.35513216006684
2024-01-03 21:00:00,8.546,1.0,9.3,0.5308,0.0016,3.79997927625928,8.500325202941895,0.22,0.9122836918050641,301.7345203509062,-347.30179488338234,-21.962633831114672,0.3733539252364791,-66.24427074654928
2024-01-03 22:00:00,8.446,1.0,9.1,0.546,0.0001,4.09996860719689,8.496326446533203,0.22,0.9127675378266851,301.1849670289362,-347.28207890666545,-25.61785103470089,-0.4321233267242162,-71.23431870132761
2024-01-03 23:00:00,8.846,0.0,8.7,0.5202,0.0,3.299959655813992,8.495829582214355,0.22,0.0,299.5601939558588,-347.27962916232536,-26.747993053896174,2.612347931415667,-71.8550803289471
2024-01-04 00:00:00,9.246,1.0,8.6,0.5013,0.0,4.200000786904687,8.49531364440918,0.22,0.9113726563021285,299.76131921903635,-347.27708539161176,-32.009015242233374,6.432629446992218,-72.18077931151441
2024-01-04 01:00:00,9.246,1.0,8.5,0.5189,0.0,3.500008618560817,8.493855476379395,0.22,0.9119118222942406,300.1369268103035,-347.2698961410698,-29.709829934549028,5.75276387501651,-70.17812356800454
2024-01-04 02:00:00,8.846,1.0,8.4,0.5075,0.0,3.399990344103936,8.491336822509766,0.22,0.9115611390284757,297.42998691673375,-347.25747860759276,-30.60779721998102,2.6922087526579954,-76.83151901915355
2024-01-04 03:00:00,8.546,2.0,8.5,0.4897,0.0008,3.3,8.488883972167969,0.22,1.8220483347679268,295.85522534082975,-347.24538582047893,-29.14819891386779,0.4292128745487071,-78.28709818420032
2024-01-04 04:00:00,8.946,0.0,8.1,0.4598,0.0,3.600041440039267,8.4827299118042,0.22,0.0,294.06692371825255,-347.21504710373364,-35.050248645195936,3.6291164699081957,-84.56925556076882
2024-01-04 05:00:00,9.046,1.0,7.9,0.4562,0.0,3.099971162769099,8.48203182220459,0.22,0.9100471563674051,293.26043127361356,-347.21160573840285,-34.175378116661484,4.036634316262685,-83.17987110882069
2024-01-04 06:00:00,9.146,1.0,7.9,0.4557,0.0,2.7999690641148165,8.482150077819824,0.22,0.9100328951628569,293.63934527316235,-347.21218870012916,-32.20447532926357,4.477395735926194,-80.3898901251413
2024-01-04 07:00:00,9.346,1.0,7.5,0.4562,0.0,2.8000317033919457,8.480944633483887,0.22,0.9100471563674051,292.28668037218904,-347.2062462859617,-36.05787648496738,5.8021569026795285,-84.26523833969311
2024-01-04 08:00:00,8.846,9.0,7.9,0.4566,0.0,2.8999846085798455,8.478171348571777,0.22,8.190527147855384,292.47738379399283,-347.19257526196066,-33.063965349927514,2.549460470360846,-77.03916919967911
2024-01-04 09:00:00,8.846,32.0,7.7,0.4566,0.0,2.4999962499971877,8.469047546386719,0.22,29.12187430348581,291.4079393552617,-347.1476019462339,-32.41040391581556,2.4138407867760447,-56.61435141652592
2024-01-04 10:00:00,9.146,160.0,7.8,0.4566,0.0,3.3999863602667584,8.465536117553711,0.22,145.60937151742905,293.1449656443157,-347.130294471728,-36.94925410573138,5.124106685350233,59.79889526963558
2024-01-04 11:00:00,9.146,181.0,8.1,0.4566,0.0,3.69998176481993,8.477738380432129,0.22,164.7206015290916,294.72971776012554,-347.1904409638369,-35.422957054721444,5.297290670697075,82.13421194135584
