time,Unnamed: 0,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2024-01-01 00:00:00,0,7.316042651053351,0.0,8.032500460162654,1.0,6.706311297742951,8.596600532531738,0.22,0.0,324.3951536283141,-347.7767364728609,-57.594930499728314,-15.67600789935917,-96.65252124363425
2024-01-01 01:00:00,1,7.465391848972843,0.0,7.594496637972978,1.0,5.225787424674374,8.590484619140625,0.22,0.0,322.4682751444592,-347.74655121370887,-55.00266098033614,-11.550509948922452,-91.83144699850827
2024-01-01 02:00:00,2,7.425422042633954,0.0,7.535886561605228,1.0,6.149420320863152,8.589056015014648,0.22,0.0,321.9347069827197,-347.73950058177,-62.5419588072414,-13.367468706104388,-101.71422111239609
2024-01-01 03:00:00,3,7.510804191893726,0.0,8.011037340796777,1.0,7.473614429537242,8.588046073913574,0.22,0.0,325.14028988061426,-347.7345162544541,-62.46180043847479,-14.233038864585492,-99.28906567690012
2024-01-01 04:00:00,4,7.720038936508331,0.0,7.953410442412686,1.0,7.6073022498148735,8.586421012878418,0.22,0.0,325.73977837576587,-347.72649625951834,-64.24130807806004,-11.565363415262647,-97.79338937707517
2024-01-01 05:00:00,5,7.897359262220789,0.0,7.982456926095276,1.0,9.225313931463873,8.582625389099121,0.22,0.0,326.7035186637085,-347.70776465214055,-73.57377667403964,-10.582208748175244,-105.16023141064693
2024-01-01 06:00:00,6,7.310642156307665,0.0,7.972703131234612,1.0,6.243073158192635,8.576868057250977,0.22,0.0,324.0249989909329,-347.6793533545699,-55.50400122581281,-14.72606229919882,-93.88441788864864
2024-01-01 07:00:00,7,7.243459050470165,0.0,8.66485056415274,1.0,7.917940754722669,8.575634002685547,0.22,0.0,327.5988817899463,-347.6732637651965,-51.61995416162529,-18.442643170380126,-90.13697930725563
2024-01-01 08:00:00,8,7.457309747010584,2.3569645457225925,8.912275092731205,1.0,7.390716158774553,8.568623542785645,0.22,2.201404885704901,329.8874919370847,-347.6386713330381,-43.89284588956978,-14.569139432055072,-74.01175983187333
2024-01-01 09:00:00,9,7.800816141558755,13.571806843496756,9.098929184220378,1.0,8.732095915362484,8.565232276916504,0.22,12.67606759182597,332.4301809531684,-347.6219383880516,-45.36107817785153,-11.320075284218028,-59.19684330512676
2024-01-01 10:00:00,10,7.771358826090136,21.836052827775635,9.15579052850639,1.0,7.359846528002752,8.576605796813965,0.22,20.394873341142443,332.59167364452065,-347.67805919248383,-38.911881180554815,-10.478155750325328,-44.081549137700875
2024-01-01 11:00:00,11,7.730729538386981,38.46258404240208,9.063759906120582,1.0,10.233757471370323,8.580201148986816,0.22,35.92405349560354,331.9268536302441,-347.69580129291745,-52.63165590638465,-14.270067664524428,-46.74661773797889
2024-01-01 12:00:00,12,8.170618233282653,61.476403868529005,9.218885676496942,0.9999913787841797,10.421737095226664,8.574125289916992,0.22,57.41892517342529,334.7453999810445,-347.6658189508575,-49.06605925651259,-6.844680361683429,-11.412233414583724
2024-01-01 13:00:00,13,8.261468242173578,47.2193751343881,9.338677568877152,1.0,9.28383058620635,8.57870101928711,0.22,44.10289637551848,335.781983102265,-347.68839847190833,-41.98514172933985,-4.901559902563442,-14.690220626028179
2024-01-01 14:00:00,14,8.199852993496506,32.13021744755591,9.67037041692618,1.0,9.31900984158467,8.618870735168457,0.22,30.009623096017215,337.1755677288925,-347.88666827824505,-35.1190564194873,-6.501546093799221,-22.322079966621892
2024-01-01 15:00:00,15,8.263960329473775,18.87161609435844,9.367724705817118,1.0,7.69511721160675,8.641175270080566,0.22,17.626089432130783,335.9424581653061,-347.99679567734023,-36.70489002909615,-5.044698485539713,-36.17783659453917
2024-01-01 16:00:00,16,8.065488766665396,3.2677956513175115,9.561195627362546,1.0,6.027507268566024,8.619840621948242,0.22,3.0521211383305555,336.0096738999582,-347.8914564965545,-27.23824323094437,-6.216583445170861,-42.28448813438095
2024-01-01 17:00:00,17,8.69958928870949,0.0,9.6241198818898,1.0,7.064032382869993,8.60625171661377,0.22,0.0,339.2582006124582,-347.82437415523,-28.88259980970027,1.1626503798674732,-36.28612297260456
2024-01-01 18:00:00,18,8.72718278130202,0.0,9.780781827465416,1.0,7.8226173269165376,8.602442741394043,0.22,0.0,340.170053949007,-347.80557269089155,-27.950211479359567,1.6774838329028923,-33.90824638834121
2024-01-01 19:00:00,19,8.720187713178348,0.0,9.934506450013634,1.0,5.729506263428375,8.574137687683105,0.22,0.0,340.8961174731806,-347.6658801277321,-19.40364056278264,1.5615915365603348,-24.611811680773833
2024-01-01 20:00:00,20,8.36659339940229,0.0,10.22743437634179,1.0,3.9100230323399936,8.568411827087402,0.22,0.0,340.6614648125861,-347.63762668268566,-11.435410218110466,-1.6881825939274466,-20.0997546821375
2024-01-01 21:00:00,21,9.287062717146512,0.0,9.853910352126634,1.0,6.801979544733465,8.566505432128906,0.22,0.0,343.14762387382126,-347.62822022992907,-23.120702931414655,8.643292587780877,-18.95800669974159
2024-01-01 22:00:00,22,8.870349968319374,0.0,9.8901356994711,1.0,7.018806916268836,8.564985275268555,0.22,0.0,341.3785147742803,-347.62071967353336,-23.12339721026838,3.7735530634812178,-25.59204904604023
2024-01-01 23:00:00,23,9.681258458619936,0.0,10.205548772428788,1.0,8.471803952286677,8.561727523803711,0.22,0.0,346.73039191829565,-347.6046461170323,-19.656457347489084,15.803689506664133,-4.727022039561602
2024-01-02 00:00:00,24,10.18249696405394,0.0,10.21056613081922,1.0,7.47208747541608,8.557469367980957,0.22,0.0,349.1302142558141,-347.58363746400465,-17.538151890318066,20.651005905202528,4.659430806693919
2024-01-02 01:00:00,25,9.413723863243831,0.0,10.342068666222886,1.0,8.246091667602714,8.553553581237793,0.22,0.0,346.12392491186904,-347.5643188130895,-16.330526451514352,11.928698958517838,-5.8422213942170025
2024-01-02 02:00:00,26,11.2325296610465,0.0,9.551672105648429,1.0,5.786510470225354,8.550100326538086,0.22,0.0,350.78677729167975,-347.54728274607464,-24.339664386066183,27.617141916254287,6.516972075793216
2024-01-02 03:00:00,27,10.8750388699047,0.0,9.564676137261957,1.0,7.074663372782339,8.548742294311523,0.22,0.0,349.1574114026654,-347.5405832878717,-28.245050088367872,28.044084969792273,1.4158629962180918
2024-01-02 04:00:00,28,10.712418528883916,0.0,10.51596105338272,1.0,1.7982195415975228,8.547311782836914,0.22,0.0,353.1383551567421,-347.53352637906363,-4.678025313188175,11.147143371104445,12.073946835594718
2024-01-02 05:00:00,29,10.37913295689532,0.0,9.97617210761214,1.0,6.539804504581959,8.544769287109375,0.22,0.0,348.9059244789086,-347.5209841650572,-19.66815788404149,20.991637084470938,2.7084195142808625
2024-01-02 06:00:00,30,10.498507801536787,0.0,9.630731138478517,1.0,4.115869452418641,8.543811798095703,0.22,0.0,347.71774198429154,-347.5162609286497,-18.42808879258735,16.096055179797922,-2.1305525571475634
2024-01-02 07:00:00,31,9.743174637322625,0.0,10.0556178652643,1.0,5.393760097980615,8.544873237609863,0.22,0.0,346.29021925736254,-347.52149694959627,-16.079953755158503,12.049107863337719,-5.262123584054516
2024-01-02 08:00:00,32,10.097948351574018,1.4662980556474008,9.505181364529484,1.0,7.906134573343406,8.545571327209473,0.22,1.3695223839746722,345.18055150810784,-347.5249406182673,-32.28654957361356,20.634539651336212,-12.626876648462108
2024-01-02 09:00:00,33,11.080546363081112,6.515206230049908,8.798745913364305,1.0,0.36193765036666187,8.545501708984375,0.22,6.085202618866614,345.9823570196638,-347.5245971911444,-11.14769638743358,8.09074669855701,1.4860127585094904
2024-01-02 10:00:00,34,10.69469454312548,19.24919487623835,9.139500961375582,1.0,2.734487702860964,8.543563842773438,0.22,17.978748014406616,346.0481616644976,-347.5150377876277,-19.002165938157102,13.72852656698183,11.23823252010127
2024-01-02 11:00:00,35,11.332899916805502,19.993383092331086,9.257374697656635,1.0,2.542035123230749,8.541625022888184,0.22,18.673819808237234,349.6974574898828,-347.50547387704086,-16.81435146783435,16.77552850213342,20.826980455378262
2024-01-02 12:00:00,36,12.29481305659715,20.177175952769755,8.745777878628639,1.0,10.496460351027297,8.541494369506836,0.22,18.84548233988695,351.4131138731828,-347.5048293904118,-58.1187780002968,61.13561218630456,25.770601008665658
2024-01-02 13:00:00,37,12.298421974952475,51.92861145191,8.559194827672812,1.0,4.011537971604866,8.53739070892334,0.22,48.50132309608394,350.34925851187205,-347.4845873213772,-29.839190465546473,29.19155110635406,50.71835492738636
2024-01-02 14:00:00,38,12.933945205721102,99.1369228755288,8.722259109430599,1.0,6.811431029652125,8.524056434631348,0.22,92.5938859657439,354.32039292202285,-347.4188196386808,-40.57509196330925,49.92801231160942,108.84837959738609
2024-01-02 15:00:00,39,13.451947383639492,21.98967053034356,8.216572278352185,1.0,13.441369606964084,8.50098705291748,0.22,20.538352275340884,353.76917280192094,-347.30505823357356,-86.11579666842009,98.70870528139025,39.59537545665846
2024-01-02 16:00:00,40,13.29603033482732,6.784654202537784,8.10861970732351,1.0,5.154312005996687,8.483195304870605,0.22,6.33686702517029,352.36130863792135,-347.21734136149945,-40.46166273853104,43.64465533337541,14.663826896436582
2024-01-02 17:00:00,41,13.616331466465,0.0,8.52852556813312,1.0,9.151339327294302,8.474625587463379,0.22,0.0,356.4446225135295,-347.1750968722912,-54.476990810321745,73.3306867038836,28.123221534800173
2024-01-02 18:00:00,42,11.882524858424349,0.0,9.265122548594064,1.0,11.679998283304256,8.470865249633789,0.22,0.0,352.3518101168119,-347.15656147432964,-48.460742932948804,61.09555761960121,17.83006332913469
2024-01-02 19:00:00,43,11.49351988297684,0.0,9.866006074844467,1.0,7.531559575852443,8.469489097595215,0.22,0.0,353.6618122082935,-347.1497783529039,-22.54174688518296,37.879589526459256,21.84987649666587
2024-01-02 20:00:00,44,9.999287169473403,0.0,9.344226729742056,1.0,10.716722012443496,8.467533111572266,0.22,0.0,343.87718319581376,-347.140137372156,-43.8914456188153,26.02602237398177,-21.128377421175774
2024-01-02 21:00:00,45,10.272953796376726,0.0,9.626657994063509,1.0,10.175319645935131,8.47099494934082,0.22,0.0,346.63187545354293,-347.15720077572286,-35.08305398491459,29.24399885960103,-6.364380447493485
2024-01-02 22:00:00,46,10.32942201119198,0.0,8.632575726561333,1.0,11.023055435147722,8.479692459106445,0.22,0.0,341.53870748621165,-347.2000735899896,-63.596337706115044,32.06432034304278,-37.19338346685019
2024-01-02 23:00:00,47,10.039054693099274,0.0,8.85006264139034,1.0,8.890951711531212,8.493324279785156,0.22,0.0,341.4031516112881,-347.2672771939541,-48.96625016496165,22.549342043651002,-32.28103370397667
2024-01-03 00:00:00,48,10.224076466513338,0.0,8.543640561279116,1.0,12.788211066294402,8.494263648986816,0.22,0.0,340.5454147619333,-347.2719085557403,-75.15099516514839,34.03831166552304,-47.839177293432385
2024-01-03 01:00:00,49,10.198528150145478,0.0,8.651546636698862,1.0,11.626240021335933,8.489161491394043,0.22,0.0,341.03797500867336,-347.24675400099784,-66.27659005769064,31.0312787454448,-41.45409030457032
2024-01-03 02:00:00,50,9.764361293508102,0.0,8.501748652907523,1.0,11.78781913367323,8.48600959777832,0.22,0.0,338.182612526777,-347.23121528135516,-71.44070951382851,23.58075685729271,-56.90855541111395
2024-01-03 03:00:00,51,9.596613909500547,0.0,9.272469177631432,1.0,9.252246177503004,8.487244606018066,0.22,0.0,341.6189676316288,-347.2373037644329,-41.094312101185466,16.80056183115296,-29.912086402836636
2024-01-03 04:00:00,52,9.507744395984616,0.0,8.065852799823176,1.0,10.364863046470989,8.487017631530762,0.22,0.0,334.47700818362705,-347.23618479397,-75.31345174860391,16.967976692701,-71.10465166624584
2024-01-03 05:00:00,53,9.482795911530388,0.0,8.347928341493631,1.0,11.113889279569182,8.477977752685547,0.22,0.0,336.0091415564433,-347.19162093801503,-72.1266844940577,17.695944352572074,-65.61321952305737
2024-01-03 06:00:00,54,9.3821967957561,0.0,7.362364542589052,1.0,3.2385954208954564,8.478086471557617,0.22,0.0,329.579713724929,-347.1921568635354,-40.60330549719022,6.578816056135991,-51.63693257966064
2024-01-03 07:00:00,55,9.683732117583643,0.0,8.092280735122827,1.0,3.9876682238380345,8.480978012084961,0.22,0.0,335.4374097867169,-347.206410829631,-36.79438554540312,9.869572408467926,-38.693814179849305
2024-01-03 08:00:00,56,9.737870845376278,2.690257361424067,8.774505432390686,1.0,8.805737080799702,8.48564338684082,0.22,2.5127003755700783,339.58904446650746,-347.2294099087139,-50.300943179663086,18.195722103204204,-37.23288614309521
2024-01-03 09:00:00,57,9.61845658684615,17.189711787771238,8.407821105842764,1.0,7.24480603418032,8.506779670715332,0.22,16.055190809778335,336.9754009300542,-347.3336205825559,-50.49209778619717,13.90122761372827,-30.893899015192293
2024-01-03 10:00:00,58,9.751730228020165,90.65468880130102,7.866868589852113,1.0,10.744680437326805,8.514123916625977,0.22,84.67147934041515,334.39618643693365,-347.3698362614081,-83.03547448171612,21.141327481843476,9.803682516068022
2024-01-03 11:00:00,59,9.312822728256949,94.8912645738399,8.653448743574142,1.0,5.335310337956984,8.525673866271973,0.22,88.62844111196647,336.9564748777406,-347.42679668293954,-37.094575169424566,7.914587167835676,48.97813130517867
2024-01-03 12:00:00,60,9.363284489532589,246.13092782713923,9.061043942677523,0.3327807844344977,4.601520025486493,8.523697853088379,0.22,223.1881971923785,295.55805620243933,-347.4170511616227,-27.905130019965167,7.623721209934384,151.04779342316436
