time,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],rain_[m/hr],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2025-07-01 23:00:00,22.73,0.0,17.1,0.1583,0.0,0.9000148109892414,23.143418666666665,0.074,0.0,381.24436222281065,-425.32758278751305,-74.80863305145606,-1.8385106552540482,-120.73036427141251
2025-07-02 00:00:00,21.43,0.0,17.7,0.1565,0.0,1.000036104348238,23.036752,0.074,0.0,376.6410451083176,-424.71564220211536,-75.10102978599726,-7.713111911802451,-130.88873879159746
2025-07-02 01:00:00,20.83,0.0,17.6,0.1584,0.0,0.6999989499992125,22.930085333333334,0.074,0.0,373.427147499772,-424.1043621770543,-69.8185577363804,-9.4455727826828,-129.94134519634554
2025-07-02 02:00:00,20.13,0.0,17.8,0.125,0.0,0.7999803310082068,22.838739733333334,0.074,0.0,370.01422055637863,-423.5814080534765,-71.08772804748098,-12.845668502288646,-137.50058404686746
2025-07-02 03:00:00,19.43,0.0,17.7,0.1393,0.0,0.6999989499992125,22.7474064,0.074,0.0,366.5603361047504,-423.0590078411196,-70.43558735338694,-15.671498232207245,-142.60575732196338
2025-07-02 04:00:00,18.73,5.0,17.8,0.1783,0.0,0.6999716065670093,22.656073066666664,0.074,4.516638853817863,364.245609114728,-422.5370909824147,-70.283456719124,-18.990974912723008,-143.04927464571588
2025-07-02 05:00:00,19.23,77.0,18.2,0.1831,0.0,0.5999645989556384,22.63102,0.074,69.5638316913424,367.931175822737,-422.3940117209501,-63.889522098464624,-15.672089681102886,-64.46061598643827
2025-07-02 06:00:00,21.13,226.0,18.3,0.1908,0.0,0.5999645989556384,22.60602,0.074,204.21036214901613,377.7153408043116,-422.2512717505179,-58.02168288097975,-6.273349113767562,95.37939920806258
2025-07-02 07:00:00,22.83,398.0,17.2,0.1702,0.0,0.8999679383178046,22.58102,0.074,359.4586875068314,382.3123723902566,-422.1085679603228,-65.92121160676157,1.0765604814981993,254.81784081150184
2025-07-02 08:00:00,24.73,572.0,18.7,0.1634,0.0,0.9,22.806486133333333,0.074,516.530264183818,396.41909467954537,-423.39687157802194,-54.3831496707189,7.718316546080181,442.8876541607027
2025-07-02 09:00:00,26.53,743.0,18.1,0.1637,0.0,1.2000243039205498,23.0321528,0.074,670.9520227631651,403.8564250649218,-424.6892717122214,-61.84047807547529,14.391386282237654,602.6700843226279
2025-07-02 10:00:00,28.23,820.0,18.5,0.1637,0.0,1.6999950264633128,23.257819466666668,0.074,740.4854087022818,414.0528047063731,-425.9846283364795,-67.50179337199802,22.362621695175033,683.4144133953523
2025-07-02 11:00:00,29.43,899.0,18.4,0.1637,0.0,1.2999975769208187,23.59939333333333,0.074,811.824856613843,420.12049989924,-427.9509419501747,-61.189087575435465,22.226866054621297,765.0321930420941
2025-07-02 12:00:00,30.83,925.0,18.3,0.1637,0.0,1.7000234174857711,23.94106,0.074,835.3036622556228,427.33256493816333,-429.9245919778112,-70.85840681021759,28.52875906054102,790.3819874662985
2025-07-02 13:00:00,31.63,892.0,18.0,0.1637,0.0,2.5000143119590335,24.28272666666667,0.074,805.5036397102871,430.6671861784637,-431.90506079628454,-94.42817829402405,37.52795868292082,747.3655454813629
2025-07-02 14:00:00,31.43,525.0,19.0,0.1637,0.0,2.5999417012694725,24.195736533333335,0.074,474.0912677667048,432.9093665286,-431.40017509573715,-88.0758431103465,38.053084645595085,425.5777007348162
2025-07-02 15:00:00,30.83,368.0,18.9,0.1637,0.0,3.1000188144590353,24.1084032,0.074,332.3154029298045,429.30655548953735,-430.8937428837047,-100.16063293975905,40.41598474003986,270.9835673359179
2025-07-02 16:00:00,29.03,293.0,18.4,0.1637,0.0,5.999962208214315,24.021069866666668,0.074,264.58807896313243,417.9830504248652,-430.3877566883324,-174.21692681867327,50.80891172741847,128.77535760841045
