time,Unnamed: 0,Tair_[°C],sol_[W/m2],vap_[mbar],cloud_[-],lw_[W/m2],U10_[m/s],Temp_[C],Adir,H_sw,H_lw_in,H_lw_out,H_le,H_c,H_net_atm
2025-07-01 00:00:00,0,23.214865782685933,0.0,21.136947134788315,1.0,461.1141628142023,0.8918859662474815,22.650608,0.074,0.0,460.7172629964924,-422.50586,-40.37857652465267,2.4007163562662153,0.2335434531059657
2025-07-01 01:00:00,1,23.27892243112456,0.0,20.138312880556363,1.0,458.31855814322086,1.1743625171393517,22.6382,0.074,0.0,457.92425812760933,-422.43512,-50.560962067169726,2.9548720943979667,-12.116951474068674
2025-07-01 02:00:00,2,22.58168129475564,0.0,21.668436016016614,0.5919290030293294,415.6339965418588,0.9593434412515782,22.622814,0.074,0.0,415.2745017301061,-422.3471,-38.411373002388636,-0.18328303892393816,-45.6672612448002
2025-07-01 03:00:00,3,21.596565609756112,0.0,22.254685312772303,1.0,454.82165077795247,2.438336858358109,22.640053,0.074,0.0,454.4252684280541,-422.44556,-51.24750535737988,-6.873013694019221,-26.140807263970004
2025-07-01 04:00:00,4,22.432182819213097,2.6085599558092163,20.176948003787896,0.9941381760485508,452.6477240161269,3.8624820488166662,22.614044,0.074,2.4353612757205916,452.2557650265925,-422.29712,-89.99696328857779,-1.5092036008820289,-59.11215972777174
2025-07-01 05:00:00,5,23.269689301029075,59.97598673658956,18.90744076677748,0.1558569028327781,389.768092118492,1.5637847298206184,22.583618,0.074,54.15072871954763,389.4327436358173,-422.12338,-64.86592854480702,3.5094666247874837,-39.89637213301395
2025-07-01 06:00:00,6,22.731273956148076,141.2950708904864,20.345660451653178,0.7876047253412009,430.58905808059455,0.8226339031757413,22.51892,0.074,130.2863930442694,430.2170556299435,-421.75424,-43.78454236211749,0.8980465047166161,95.86271087345266
2025-07-01 07:00:00,7,23.29725013104013,207.41810734805733,19.21993366069322,0.6675186369818914,418.69718681355687,2.3720826512858038,22.541222,0.074,190.20916807316976,418.3370243601083,-421.88153,-74.62241070072649,4.660864924112802,116.70311589494563
2025-07-01 08:00:00,8,23.83612047242485,463.3069182879799,19.1118041227562,0.4725203802514808,406.4977171160079,1.3589646369258632,22.554976,0.074,421.8491861927547,406.14948716275524,-421.95987,-58.25259399532655,6.066750906195664,353.8529608816134
2025-07-01 09:00:00,9,24.21085597279682,630.0940043379336,19.107649146267608,0.5866020508745692,416.54858788114615,1.1032400464402605,22.599827,0.074,575.9758654233618,416.1927675132779,-422.21588,-53.87538557343417,6.988477503546757,523.065843519096
2025-07-01 10:00:00,10,23.69461537193172,741.1114188332531,18.59990160849577,0.1306798955289161,390.53116651050806,0.2409665299531284,22.66987,0.074,668.7617967275894,390.19625235687545,-422.61584,-44.2651905080651,3.3952927791042127,595.4723066289415
2025-07-01 11:00:00,11,24.01657458262912,854.0022086100515,17.710796099524536,0.2093041546685905,391.19608830848887,0.17003344483092878,22.756613,0.074,771.9958478331163,390.86142832323725,-423.11172,-47.38131251673506,4.002046616858329,696.3662854029611
2025-07-01 12:00:00,12,24.29388298907503,838.0772767367233,17.519843898296568,0.3465126677324071,397.04187842445606,0.779446608729046,22.868547,0.074,760.2410186757087,396.7029356957641,-423.75208,-61.125500512912154,5.625434228189245,677.6918128914373
2025-07-01 13:00:00,13,26.012986849740685,850.8989991444464,19.938935005076587,0.0,405.2573821208561,0.904092454202288,23.152853,0.074,765.8090992300018,404.9159190855949,-425.3818,-48.319187071480435,10.993971215785391,708.0179970399798
2025-07-01 14:00:00,14,26.969387565580803,743.8668354352087,18.843770015265044,1.0,476.16144596249217,1.5639032068911576,23.166605,0.074,694.7716242964849,475.7631329308429,-425.46066,-64.66267046806438,17.249566180611374,697.6609900980781
2025-07-01 15:00:00,15,27.219718933907984,585.9987428460283,19.79693980076883,0.5806778759060418,434.7429105592224,2.533834144294669,23.28876,0.074,535.5502254543412,434.37993101786816,-426.16245,-76.01888196055513,22.749752055910758,490.49858149920556
2025-07-01 16:00:00,16,27.635699094411223,482.09347627407226,17.58008449949815,0.3017501927978617,412.70955103312497,1.6101673355903519,23.263527,0.074,436.79656305946,412.36604672816975,-426.0174,-73.69217984889518,19.63544213015364,369.088477049357
2025-07-01 17:00:00,17,26.17455374599001,329.2152339441569,22.064803025264027,1.0,482.0653580283146,1.639440553433309,23.308176,0.074,307.48702850384257,481.6596748297354,-426.27405,-46.9887138917858,13.785643386099885,329.6695849763296
2025-07-01 18:00:00,18,25.912981059522792,115.8287352147297,19.906622804991933,1.0,473.4308672308471,3.45449337755888,23.210829,0.074,108.18403869055754,473.031659832609,-425.7146,-92.26734139673854,19.526075181261277,82.7598326983143
2025-07-01 19:00:00,19,23.635457067845323,14.533183782325196,19.712142565687568,1.0,459.04186464279206,3.823565446000371,23.0048,0.074,13.573993652691732,458.648018519098,-424.5324,-101.4682713977552,5.106065435820079,-48.67260345811413
2025-07-01 20:00:00,20,24.048470361819117,1.2506205720784358,19.64121836464582,1.0,461.27109624499326,3.1747423390815417,22.69692,0.074,1.168079614321259,460.87658467730483,-422.7705,-84.31368814795634,9.608757216393306,-35.43077445243696
2025-07-01 21:00:00,21,24.580928892575287,0.0,20.325474567702447,1.0,466.74192498850647,2.9449387987508255,22.477297,0.074,0.0,466.34435253904246,-421.51688,-68.54372518841586,14.02597674752082,-9.690272122555706
